State,County,Labor Force,Employed,Unemployed,Unemployment Rate,Life Expectancy,Natural_Amenity,Median Child Income,Gini,Gini_bin,Employ_bin,Avg Natural_Amenity
AR,MADISON COUNTY,"7,113","6,843",270,3.8,75.5,-0.43,32000.0,0.302,0.3,5.0,-1.4098257839721255
AR,MARION COUNTY,"6,552","6,217",335,5.1,75.475,2.74,30900.0,0.367,0.4,5.0,-1.4098257839721255
AR,MILLER COUNTY,"19,993","19,007",986,4.9,73.227,-0.3,26600.0,0.412,0.4,5.0,-1.4098257839721255
AR,MISSISSIPPI COUNTY,"18,412","16,774","1,638",8.9,74.358,-1.76,22100.0,0.446,0.4,10.0,-1.4098257839721255
AR,MONROE COUNTY,"2,986","2,808",178,6.0,76.3,-1.13,24400.0,0.378,0.4,5.0,-1.4098257839721255
AR,MONTGOMERY COUNTY,"3,271","3,054",217,6.6,77.0,1.32,35853.245749613605,0.3810850077279752,0.4,5.0,-1.4098257839721255
AR,NEVADA COUNTY,"3,675","3,495",180,4.9,74.333,-2.12,27600.0,0.351,0.4,5.0,-1.4098257839721255
AR,NEWTON COUNTY,"3,409","3,246",163,4.8,82.2,-0.26,28000.0,0.239,0.2,5.0,-1.4098257839721255
AR,OUACHITA COUNTY,"9,977","9,357",620,6.2,75.45,-0.88,25100.0,0.393,0.4,5.0,-1.4098257839721255
AR,PERRY COUNTY,"4,218","3,963",255,6.0,75.833,0.89,33600.0,0.304,0.3,5.0,-1.4098257839721255
AR,PHILLIPS COUNTY,"7,023","6,498",525,7.5,72.383,-0.68,18100.0,0.433,0.4,10.0,-1.4098257839721255
AR,PIKE COUNTY,"4,231","3,987",244,5.8,74.8,1.15,34800.0,0.403,0.4,5.0,-1.4098257839721255
AR,POINSETT COUNTY,"10,105","9,548",557,5.5,72.457,-2.26,25400.0,0.357,0.4,5.0,-1.4098257839721255
AR,POLK COUNTY,"8,362","7,887",475,5.7,75.8,1.08,32000.0,0.378,0.4,5.0,-1.4098257839721255
AR,POPE COUNTY,"29,886","28,333","1,553",5.2,76.464,2.29,31900.0,0.483,0.5,5.0,-1.4098257839721255
AR,PRAIRIE COUNTY,"3,744","3,571",173,4.6,78.167,-0.86,27500.0,0.365,0.4,5.0,-1.4098257839721255
AR,PULASKI COUNTY,"186,837","178,413","8,424",4.5,75.635,0.85,27300.0,0.549,0.5,5.0,-1.4098257839721255
AR,RANDOLPH COUNTY,"6,209","5,772",437,7.0,75.25,-0.32,31900.0,0.367,0.4,5.0,-1.4098257839721255
AR,SALINE COUNTY,"56,229","53,970","2,259",4.0,76.68,0.49,35100.0,0.357,0.4,5.0,-1.4098257839721255
AR,SCOTT COUNTY,"4,546","4,333",213,4.7,75.8,1.02,30600.0,0.314,0.3,5.0,-1.4098257839721255
AR,SEARCY COUNTY,"3,039","2,870",169,5.6,75.6,1.26,31200.0,0.305,0.3,5.0,-1.4098257839721255
AR,SEBASTIAN COUNTY,"57,971","55,224","2,747",4.7,75.7,1.1,32000.0,0.494,0.5,5.0,-1.4098257839721255
AR,SEVIER COUNTY,"5,688","5,348",340,6.0,75.275,-0.13,32800.0,0.369,0.4,5.0,-1.4098257839721255
AR,SHARP COUNTY,"6,028","5,618",410,6.8,74.9,0.49,30000.0,0.363,0.4,5.0,-1.4098257839721255
AR,ST. FRANCIS COUNTY,"8,992","8,351",641,7.1,75.217,-1.28,19900.0,0.387,0.4,5.0,-1.4098257839721255
AR,STONE COUNTY,"4,723","4,432",291,6.2,73.567,1.55,23200.0,0.411,0.4,5.0,-1.4098257839721255
AR,UNION COUNTY,"16,999","15,973","1,026",6.0,74.11,-0.5,27200.0,0.485,0.5,5.0,-1.4098257839721255
AR,VAN BUREN COUNTY,"6,453","6,026",427,6.6,77.06,2.41,32300.0,0.372,0.4,5.0,-1.4098257839721255
AR,WASHINGTON COUNTY,"115,733","111,702","4,031",3.5,77.92,1.22,34700.0,0.448,0.4,5.0,-1.4098257839721255
AR,WHITE COUNTY,"34,681","32,557","2,124",6.1,75.6,-0.84,33400.0,0.402,0.4,5.0,-1.4098257839721255
AR,WOODRUFF COUNTY,"3,043","2,851",192,6.3,78.6,-1.47,24000.0,0.612,0.6,5.0,-1.4098257839721255
AR,YELL COUNTY,"9,001","8,551",450,5.0,75.88,1.63,28100.0,0.42,0.4,5.0,-1.4098257839721255
CA,ALAMEDA COUNTY,"819,008","779,897","39,111",4.8,80.846,5.13,37400.0,0.488,0.5,5.0,-1.4098257839721255
CA,ALPINE COUNTY,549,508,41,7.5,80.4,7.41,35853.245749613605,0.3810850077279752,0.4,10.0,-1.4098257839721255
CA,AMADOR COUNTY,"14,317","13,366",951,6.6,79.2,7.23,36000.0,0.341,0.3,5.0,-1.4098257839721255
CA,BUTTE COUNTY,"101,066","93,766","7,300",7.2,77.702,5.11,31600.0,0.468,0.5,5.0,-1.4098257839721255
CA,CALAVERAS COUNTY,"20,549","19,231","1,318",6.4,80.833,8.27,33900.0,0.355,0.4,5.0,-1.4098257839721255
CA,COLUSA COUNTY,"11,051","9,342","1,709",15.5,80.22,4.34,36700.0,0.436,0.4,15.0,-1.4098257839721255
CA,CONTRA COSTA COUNTY,"544,617","517,048","27,569",5.1,80.813,8.36,41800.0,0.432,0.4,5.0,-1.4098257839721255
CA,DEL NORTE COUNTY,"9,856","9,009",847,8.6,76.486,10.75,29100.0,0.378,0.4,10.0,-1.4098257839721255
CA,EL DORADO COUNTY,"87,892","82,840","5,052",5.7,80.759,6.1,39400.0,0.398,0.4,5.0,-1.4098257839721255
CA,FRESNO COUNTY,"440,308","395,174","45,134",10.3,78.388,6.03,29900.0,0.541,0.5,10.0,-1.4098257839721255
