TimeStamp,TimeStamp,TotalMarketValue
177,2019-03-21 22:32:26,69986695100.0
178,2019-03-22 14:19:04,70203256500.0
179,2019-03-23 06:58:34,70190935650.0
180,2019-03-24 00:08:11,69967386525.0
181,2019-03-24 16:05:48,69884614012.5
182,2019-03-25 11:21:41,69907531500.0
183,2019-03-26 03:41:52,68873785525.0
184,2019-03-26 23:12:29,68817375843.75
185,2019-03-27 15:39:34,70601510075.0
186,2019-03-28 09:47:29,70554028581.25
187,2019-03-29 03:28:46,70700260768.75
188,2019-03-29 20:08:24,72035708550.0
189,2019-03-30 13:34:38,71856134587.5
190,2019-03-31 09:45:21,71905587600.0
191,2019-04-01 03:02:40,72492485450.0
192,2019-04-01 21:36:38,72656536750.0
193,2019-04-02 14:52:43,84584408206.25
194,2019-04-03 08:51:14,87639877406.25
195,2019-04-04 01:51:59,88060745000.0
196,2019-04-04 20:17:34,86093198400.0
197,2019-04-05 13:13:14,88232832187.5
198,2019-04-06 05:53:28,88283602062.5
199,2019-04-07 00:41:30,88836816600.0
200,2019-04-07 19:36:19,90157145525.0
201,2019-04-08 13:06:16,90648926381.25
202,2019-04-09 05:58:41,92137126893.75
203,2019-04-10 01:01:19,91429754400.0
204,2019-04-10 18:17:42,93032883693.75
205,2019-04-11 09:56:43,91663986531.25
206,2019-04-12 03:46:22,88230898831.25
207,2019-04-12 19:26:55,89199026400.0
208,2019-04-13 15:10:18,89532131043.75
209,2019-04-14 09:53:31,89309471543.75
210,2019-04-15 07:36:19,91151381531.25
211,2019-04-15 23:54:19,88934639243.75
212,2019-04-16 17:38:46,89612035875.0
213,2019-04-17 12:45:21,92716369275.0
214,2019-04-18 06:44:08,93050014037.5
215,2019-04-19 00:06:49,93154155412.5
216,2019-04-19 17:02:18,93240657300.0
217,2019-04-20 09:17:56,94148087062.5
218,2019-04-21 03:48:31,94181771250.0
219,2019-04-21 21:22:21,92970554625.0
220,2019-04-22 15:55:52,93895893812.5
221,2019-04-23 11:10:50,97638216543.75
222,2019-04-24 07:43:49,99170496700.3502
223,2019-04-24 22:22:31,95904312593.75
224,2019-04-25 16:06:07,96264804431.25
225,2019-04-26 09:22:08,91334318625.0
226,2019-04-27 02:26:31,90855311593.75
227,2019-04-27 20:00:32,91303846968.75
228,2019-04-28 14:25:49,91637592375.0
229,2019-04-29 06:24:39,91485484925.0
230,2019-04-29 21:39:30,90714803212.5
231,2019-04-30 15:27:01,92851475368.75
232,2019-05-01 06:08:47,93795239743.75
233,2019-05-01 21:54:26,93766983437.5
234,2019-05-02 12:22:20,94684573100.0
235,2019-05-03 03:02:08,95902786781.25
236,2019-05-03 20:07:56,100542366768.75
237,2019-05-04 13:27:42,101018622837.5
238,2019-05-05 10:26:11,100902407625.0
239,2019-05-06 05:34:40,99397910193.75
240,2019-05-06 21:57:45,100316197300.0
241,2019-05-07 15:47:42,103277531462.5
242,2019-05-08 10:54:50,102798897062.5
243,2019-05-09 04:05:14,106760357000.0
244,2019-05-09 22:29:58,107423015700.0
245,2019-05-10 18:32:50,112933621125.0
246,2019-05-11 13:29:14,119081966000.0
247,2019-05-12 07:36:07,131044302956.25
248,2019-05-12 23:38:49,122666062350.0
249,2019-05-13 15:31:40,131489055506.25
250,2019-05-14 07:15:55,141800044968.75
251,2019-05-15 00:16:50,139840688779.539
252,2019-05-15 17:50:02,142139336464.583
253,2019-05-16 10:45:53,142256976468.75
254,2019-05-17 03:57:19,137124450500.0
255,2019-05-17 20:14:08,125663478878.001
256,2019-05-18 13:47:57,129893733025.0
257,2019-05-19 07:05:21,140847537312.5
258,2019-05-19 21:58:45,141902977500.0
