Dates,auto_BTCUSDT,auto_ETHUSDT,auto_SP500,auto_NSDQ,auto_GOLD,auto_TNX,macd_BTCUSDT,macd_ETHUSDT,macd_SP500,macd_NSDQ,macd_GOLD,macd_TNX,boll_BTCUSDT,boll_ETHUSDT,ETHUSDT,BTCUSDT,SP500,TNX,NSDQ,GOLD
11.0,0.999579,1.0034016,1.0002402,1.0002563,1.0001324,0.99968535,0.9212869,1.6242238,1.0269732,1.0276738,1.013068,0.9611155,1.0,1.0,1.6628999651655036,1.032809003230514,1.0335446228314011,0.9659090358120489,1.0362728395998615,1.0149958696615724
12.0,0.99973,1.0040727,1.0002402,1.0002563,1.0001324,0.99968535,0.935655,1.7049428,1.0269732,1.0276738,1.013068,0.9611155,1.0,1.0,1.7455411512402144,1.04891634941808,1.0335446228314011,0.9659090358120489,1.0362728395998615,1.0149958696615724
13.0,0.99979705,1.005082,1.0002402,1.0002563,1.0001324,0.99968535,0.9420408,1.8263541,1.0269732,1.0276738,1.013068,0.9611155,1.0,1.0,1.869843464144401,1.0560751699458872,1.0335446228314011,0.9659090358120489,1.0362728395998615,1.0149958696615724
14.0,0.9992424,1.004456,1.0002402,1.0002563,1.0001324,0.99968535,0.8892534,1.7510473,1.0269732,1.0276738,1.013068,0.9611155,1.0,1.0,1.7927433894230769,0.9968978007439773,1.0335446228314011,0.9659090358120489,1.0362728395998615,1.0149958696615724
15.0,0.9986616,1.0029976,1.0002038,1.000203,1.0001478,0.9997161,0.8533704,1.6208061,1.0233537,1.0223848,1.0145875,0.9611155,1.0,1.0,1.65940089319903,0.9566712358425156,1.0299019076007527,0.9689464990090614,1.030939508496473,1.0165182873173058
16.0,0.9960635,0.9988306,1.0003483,1.0003616,1.0001775,0.99952,0.6928603,1.2486736,1.0329885,1.0329416,1.0165628,0.9611155,1.0,1.0,1.2784070663504083,0.7767312990341957,1.03959848716333,0.9561675114634905,1.041584707484552,1.018497411685559
17.0,0.9966443,0.99947244,1.0003233,1.0003568,1.00004,0.9993346,0.7287446,1.3059882,1.0313189,1.032626,1.0074457,0.9611155,1.0176907,1.0851583,1.3370864899325647,0.8169593932247106,1.0379180908451864,0.944082673185063,1.0412664525501545,1.0093629057511595
18.0,0.99650985,0.9994824,1.0003911,1.0004426,1.0001076,0.99919176,0.72043437,1.3068792,1.0358415,1.038334,1.0119283,0.9611155,1.0060854,1.0858986,1.3379986518252212,0.8076431827825938,1.0424696057014113,0.9347743585124857,1.0470222188215563,1.0138540564197724
19.0,0.99749976,1.000707,1.0003911,1.0004426,1.0001076,0.99919176,0.7363457,1.4162422,1.0358415,1.038334,1.0119283,0.9611155,1.0914927,1.1767695,1.4499659632402995,0.8762045609079783,1.0424696057014113,0.9347743585124857,1.0470222188215563,1.0138540564197724
20.0,0.9981997,1.0014831,1.0003911,1.0004426,1.0001076,0.99919176,0.7363457,1.4855517,1.0358415,1.038334,1.0119283,0.9611155,1.15188,1.2343594,1.5209257932160483,0.9246809848417598,1.0424696057014113,0.9347743585124857,1.0470222188215563,1.0138540564197724
