State,County,Annual_Crime_Rate,Children_Poverty_Rate,Chlamydia_Rate,id,Bachelor_or_High_Degree_Rate,Teenage_Birth_Rate,Natural_Amenity,Life_Expectancy,Population,Annual_Crime_Rate_Rank,Children_Poverty_Rate_Rank,Chlamydia_Rate_Rank,Bachelor_or_High_Degree_Rate_Rank,Teenage_Birth_Rate_Rank,Life_Expectancy_Rank
FL,LAFAYETTE COUNTY,0.003031323678006,27.0,0.0031997305490063,12.0,15.8,0.1641391035548686,0.84,77.2,5938,1373.0,2172.0,656.0,1749.5,1270.0,1139.0
MO,LAFAYETTE COUNTY,0.0015869517302182,15.0,0.0044081992506061,29.0,15.8,0.161,-1.7,77.057,22685,587.0,836.0,1194.0,1749.5,1413.5,1077.5
WI,LAFAYETTE COUNTY,0.0013149820285789,16.0,0.0035066187428771,55.0,15.8,0.103,-1.53,82.46,11407,411.0,959.0,799.0,1749.5,2219.5,2585.0
IN,LAGRANGE COUNTY,0.0017674870752507,11.0,0.0025186690822323,18.0,10.5,0.13,-2.36,79.212,22631,692.0,346.0,361.0,2507.0,1858.0,1911.0
CA,LAKE COUNTY,0.007388101494852,25.0,0.0071296256408047,6.0,15.5,0.143,6.55,74.821,46426,2412.0,2015.5,1978.0,1784.0,1673.5,324.0
CO,LAKE COUNTY,0.0026963868416322,18.0,0.0066510875426927,8.0,15.5,0.224,8.52,78.6,5563,1219.0,1239.0,1886.0,1784.0,385.0,1678.5
FL,LAKE COUNTY,0.0037206248461138,18.0,0.0047523947614227,12.0,15.5,0.189,3.4,77.765,255871,1666.0,1239.0,1326.0,1784.0,829.0,1343.5
IL,LAKE COUNTY,0.0023094940525612,10.0,0.0070661341210812,17.0,15.5,0.093,-0.3,80.18,457676,1024.0,261.5,1969.0,1784.0,2363.5,2207.0
IN,LAKE COUNTY,0.0055145152533687,20.0,0.0083297240912335,18.0,15.5,0.168,-1.14,75.173,327862,2135.0,1516.5,2157.0,1784.0,1131.0,416.0
MI,LAKE COUNTY,0.0041525516337012,33.0,0.0037154409354168,26.0,15.5,0.19,-1.68,78.35,9151,1793.0,2471.0,879.0,1784.0,816.0,1579.0
MN,LAKE COUNTY,0.0011105626850937,11.0,0.0034550839091806,27.0,15.5,0.107,0.24,79.7,8104,325.0,346.0,764.0,1784.0,2166.0,2063.5
MT,LAKE COUNTY,0.0063524391426631,23.0,0.0078556881000872,30.0,15.5,0.174,3.82,79.938,20622,2281.0,1834.0,2098.0,1784.0,1041.5,2144.0
OH,LAKE COUNTY,0.0021811502697738,11.0,0.0046462730123437,39.0,15.5,0.079,-0.42,78.007,165509,949.0,346.0,1289.0,1784.0,2507.0,1453.0
